"","V1","V2","V3","V4"
"205",102402.450438831,114263.092673002,101843.797607591,101691.409882095
"206",92646.2071329337,97753.6926445622,113692.314836336,122326.387045984
"207",113070.802961638,83634.7979540736,101894.128610688,92480.9461273158
"208",103832.696131433,103793.358125638,99414.3002870739,103030.716723941
"209",123219.284068097,108654.121020482,117778.153588033,103389.4129352
"210",117254.531370806,94555.5920833317,80474.6064446754,107575.949096644
"211",91816.5948985279,112079.585188366,114998.943597763,113880.34748181
"212",90270.9873832387,111385.92138681,132420.193980582,93854.8919513292
"213",100680.212949845,94302.8950735298,93510.6671716121,96860.9144597712
"214",116470.768179557,86052.3814600521,121422.325652732,121730.364521106
"215",104542.439828941,108695.800164847,102707.256566397,95983.5039219235
"216",111402.568497919,100459.904362888,110236.985423121,93454.7666116581
"217",88227.8988501446,101973.427442744,104174.152964635,91982.5346608678
"218",121186.839969876,106762.805102606,90214.9738472873,88871.2253870996
"219",108628.398845769,105486.431333294,95507.7463677973,100364.769858717
"220",107974.475778513,116347.819116026,86759.3541813433,99119.7709182326
"221",131600.662275484,87587.9669997003,107239.655010823,98235.6009100844
"222",123306.251601547,114275.673203908,84074.1767999115,102900.787329739
"223",90809.2626559108,92185.3266414865,89278.8391856075,93216.8928959472
"224",124110.481253636,121948.534887134,97389.1442947998,101091.819101267
"225",110008.745726155,100645.340395082,100427.37198526,112443.162565748
"226",97729.7140725071,89092.4020196259,86220.0740497425,113191.727317145
"227",99271.3913847388,120196.276443822,90888.0159066311,110320.668219234
"228",109098.187273045,106207.795096515,101463.838572325,103439.703501572
"229",98957.8053170052,113457.448598924,116861.923803366,92508.884808551
"230",107869.018371781,109086.30875675,123052.622583804,104361.67724416
"231",128816.285072862,101547.216534426,93900.9618989821,109086.542707793
"232",105810.008220917,90445.6297060889,113465.271679697,79525.0209399751
"233",102522.668380829,99950.1820298698,109219.411373998,105863.567711672
"234",112059.540272661,115295.61401001,91676.1208483652,95291.142541348
"235",127464.750709358,104807.795712083,108719.289171107,95482.2039262111
"236",101524.895160726,98271.6653372552,110214.950868998,105177.86217511
"237",98115.2341536347,108953.009653144,125235.419655966,92791.1781743442
"238",113464.601477819,104841.280630198,101567.947062205,106957.774617505
"239",111799.896817776,112364.37635966,93613.0821472891,113162.273803866
"240",93810.9652214905,114360.809973445,113644.425757699,107901.322390894
"241",106594.013294773,112777.173759474,91566.6927161679,96893.6077221298
"242",99043.423513846,104434.116625333,104037.731207402,103944.058420062
"243",105778.751338697,96240.3739324243,107162.980033496,126649.330182754
"244",94611.3424271201,111827.787963539,106777.794823301,96585.8179629841
"245",91195.296977614,97529.0509040124,95478.6723357948,85225.0951605324
"246",99588.401011044,98578.4491791003,115780.058094112,101130.746545731
"247",104931.273107198,114620.800194478,116732.615113998,115308.485552782
"248",99326.1128928299,86726.3947651473,104297.633767285,102405.897834269
"249",130806.054340425,104913.719115416,94279.7279448569,96565.8147583793
"250",97924.9641857317,95728.3347515022,97209.5618602346,92437.1290003812
"251",103024.222577258,92741.0598606107,103009.78473081,111996.601017047
"252",101556.395884423,98642.6425640219,99822.5555616587,91096.6384957044
"253",116785.638409793,104158.989575572,108311.145051896,110627.986992707
"254",93150.1012817078,100451.081029707,113433.989746101,112585.457739543
"255",95946.8751282979,80678.4038995338,118443.059157111,91516.8989066231
"256",109656.544463136,97964.333023328,98190.8882342673,90854.9163601853
